Time,PM10 std,PM25 std,PM 100 std,Temperature,Gas,Pressure,Altitude,Relative Humidity
1676506416,0,2,2,25.2180859375,31922,1012.2771232194302,8.103014738581107,16.422369506566792
1676506417,0,2,2,25.210078125,32142,1012.2786221907512,8.090525074160151,16.421966858652286
1676506418,0,2,2,25.2126171875,32314,1012.27618063273,8.110868526643195,16.422094523943006
1676506419,0,2,2,25.2153515625,32414,1012.2689330978319,8.171256382199555,16.432158090425894
1676506420,1,2,2,25.2079296875,32514,1012.2680214135696,8.178852735715031,16.416896222162404
1676506421,1,2,2,25.21125,32615,1012.2635091347177,8.21645011574975,16.42698865568654
1676506422,1,2,2,25.2149609375,32819,1012.259676684084,8.248383112032629,16.43213843818114
1676506423,0,2,2,25.2094921875,32844,1012.2604494566499,8.241944157945184,16.421937397900837
1676506424,0,2,2,25.2137890625,33025,1012.2679286754066,8.179625450772654,16.427116357173055
1676506425,0,2,2,25.2190625,33077,1012.2616699693972,8.23177451732324,16.422418612220568
1676506425,0,1,1,25.2128125,33181,1012.2610829779145,8.236665487063936,16.412179197021807
1676506426,0,1,1,25.2159375,33339,1012.2579458956524,8.262804532894584,16.42722441485986
1676506427,0,1,1,25.2212109375,33498,1012.2585482901869,8.257785208254443,16.42748965740153
1676506428,0,1,1,25.2169140625,33551,1012.2630763051936,8.22005656136585,16.4272735327729
1676506429,0,1,1,25.2216015625,33767,1012.2592282090461,8.252119931529036,16.427509305564634
1676506430,0,1,1,25.2352734375,33930,1012.2624412486307,8.225348016333689,16.428197040579533
1676506431,0,1,1,25.2346875,33985,1012.2614213815615,8.233845817255013,16.428167564255407
1676506432,0,1,1,25.2462109375,34095,1012.2746173078107,8.123894421119289,16.433710865141993
1676506433,0,1,1,25.2503125,34262,1012.274894819385,8.121582145340877,16.428953659825105
1676506433,0,1,1,25.241328125,34206,1012.2678337925906,8.180416035612462,16.43842885629998
1676506434,0,1,1,25.244453125,34402,1012.2715577071233,8.149387592045493,16.418732417477223
1676506435,0,1,1,25.2481640625,34515,1012.2642937787734,8.20991226520491,16.428845564259536
1676506436,0,1,1,25.2415234375,34515,1012.2698891162187,8.163290632972627,16.418585103857026
1676506437,0,1,1,25.2450390625,34714,1012.2725775736607,8.140889864456287,16.418761880729225
1676506438,0,1,1,25.254609375,34858,1012.2720814050763,8.145024037342246,16.434133540301985
1676506439,0,1,1,25.2528515625,34916,1012.2758834328395,8.113344846443745,16.41915474090543
1676506440,0,1,1,25.2544140625,35061,1012.2751722589976,8.119270469675117,16.424196566146414
1676506441,0,1,1,25.255,35178,1012.2744767139324,8.125065874505038,16.40933691321357
1676506441,0,0,0,25.242109375,35237,1012.2743397242764,8.126207296990664,16.42357764760138
1676506442,0,0,0,25.2383984375,35415,1012.2798880669469,8.079977606591973,16.403540172513566
1676506443,0,0,0,25.2446484375,35535,1012.2804745477565,8.075090965419816,16.408816651627163
1676506444,0,0,0,25.2329296875,35565,1012.275515233853,8.116412743548274,16.38341833919545
1676506445,0,0,0,25.2309765625,35807,1012.27211562888,8.144738877919938,16.383320327898453
1676506446,0,0,0,25.230390625,35929,1012.2693804096303,8.167529284076284,16.368407967752102
1676506447,0,0,0,25.2190625,35960,1012.2633852771706,8.217482128186651,16.36287960743487
1676506448,0,0,0,25.2165234375,36145,1012.2606810797307,8.240014211345784,16.367712716026574
1676506449,0,0,0,25.2165234375,36270,1012.2623963806526,8.225721867995013,16.362752349853736
1676506450,0,0,0,25.20578125,36083,1012.2625665068394,8.224304332440528,16.352294195136412
1676506451,0,0,0,25.2059765625,36427,1012.2543301102049,8.292932348775903,16.35230397765716
1676506451,0,0,0,25.206953125,36396,1012.2508841028409,8.321645603512508,16.342433925112083
1676506452,0,1,1,25.1971875,36585,1012.2544690355003,8.291774779670146,16.346904326622198
1676506453,0,1,1,25.1971875,36713,1012.2544690355003,8.291774779670146,16.346904326622198
1676506454,0,1,1,25.203828125,36906,1012.2643126496826,8.20975502812098,16.33731837347974
1676506455,0,0,0,25.2001171875,36906,1012.2681448221098,8.177824468329717,16.342091731781082
1676506456,0,0,0,25.2059765625,37102,1012.2714828380439,8.150011416139499,16.342385038889656
1676506457,0,0,0,25.2044140625,37167,1012.2687630892577,8.172672930561001,16.33734769650991
1676506458,0,0,0,25.1969921875,37233,1012.2695663072551,8.16598034546705,16.336976284410653
1676506459,0,0,0,25.20109375,37432,1012.2561225934701,8.27799682620443,16.337181534989558
1676506459,0,0,0,25.2059765625,37700,1012.2491842938183,8.33580899457776,16.33246696040999
1676506460,1,1,1,25.199140625,37399,1012.2578687016997,8.263447735301032,16.342042848967342
1676506461,1,1,1,25.2012890625,37700,1012.2547472992674,8.289456199121041,16.34215039180036
1676506462,1,1,1,25.20421875,37836,1012.2529857092754,8.304134325391802,16.347256382758047
1676506463,1,1,1,25.1950390625,37904,1012.2524446501432,8.308642605759903,16.341837546467282
1676506464,1,1,1,25.1966015625,37972,1012.2568796309104,8.271688963549606,16.34687498975068
1676506465,1,1,1,25.199140625,38179,1012.2561534475516,8.277739740684249,16.351961601026765
1676506465,1,1,1,25.188203125,38248,1012.261128540489,8.236285847446174,16.341495394723186
1676506466,1,1,1,25.1891796875,38388,1012.2576827161159,8.264997421302356,16.351462752105007
1676506467,1,1,1,25.1919140625,38458,1012.2641575381532,8.211047455838544,16.36151910097236
1676506468,1,1,2,25.1829296875,38318,1012.269101430613,8.169853797100236,16.356109252030258
1676506469,1,1,2,25.183515625,38635,1012.2684061456894,8.175647062517287,16.36109830117463
1676506470,1,1,2,25.1856640625,38813,1012.263569785661,8.215944756769183,16.346327400336964
1676506471,0,1,1,25.1770703125,38670,1012.2589021689689,8.254836589511623,16.350856376590823
1676506471,0,1,1,25.1794140625,38813,1012.2612666676473,8.235134934923176,16.350973733746454
1676506472,0,1,1,25.1813671875,38993,1012.2629512099069,8.22109888732536,16.356030989474828
1676506473,0,0,1,25.1735546875,38993,1012.2630737437014,8.220077904373698,16.36059925978594
1676506474,0,0,1,25.1751171875,39174,1012.2572176129028,8.268872797613268,16.37059735407516
1676506475,0,0,1,25.177265625,39211,1012.257526948076,8.266295326112157,16.38062578215228
1676506476,0,0,0,25.167890625,39211,1012.2566447588445,8.27364598753163,16.370235133112548
1676506477,0,1,1,25.1708203125,39321,1012.2548837083336,8.288319596401186,16.390223955824943
1676506477,0,1,1,25.1731640625,39505,1012.2572482346887,8.268617647869064,16.385380711944343
1676506478,0,1,2,25.1637890625,39394,1012.2512204044775,8.318843425352881,16.39483209243444
1676506479,0,1,2,25.1673046875,39617,1012.2573399962015,8.267853063950525,16.395008537262594
1676506480,0,1,2,25.1716015625,39692,1012.2493828904999,8.334154218001101,16.405146932407344
1676506481,0,1,2,25.1645703125,39729,1012.252580312632,8.307512221672571,16.414717241795998
1676506482,0,1,2,25.1684765625,39842,1012.2610950352793,8.236565021855355,16.409951645902133
1676506483,0,1,2,25.1735546875,39729,1012.2527826292192,8.305826454130711,16.435018534783183
1676506484,0,1,1,25.1669140625,39956,1012.2549448730715,8.287809952841506,16.454537459513492
1676506484,0,1,1,25.17140625,40108,1012.2610491756552,8.236947136579754,16.46965581594635
1676506485,0,1,1,25.1762890625,40262,1012.2558270771397,8.280459157805009,16.479831210708202
1676506486,0,1,2,25.1692578125,40262,1012.2624549494351,8.225233857671036,16.48940664406887
1676506487,0,1,2,25.17296875,40146,1012.2569082590894,8.271450425065709,16.504490599985697
1676506488,0,1,2,25.17765625,40455,1012.2547765034574,8.289212860725184,16.48983036307172
1676506489,0,1,2,25.17140625,40494,1012.245612558095,8.36556998291223,16.48454990675261
1676506490,0,1,2,25.1755078125,40572,1012.2476064188377,8.34895640667331,16.49468736452587
1676506490,0,1,2,25.18078125,40729,1012.249924851591,8.329638411163984,16.480057740235008
